raceId,weather_condition,humidity,wmo_code
984,dry,70.33333333333333,0.0
874,dry,59.333333333333336,0.0
1005,dry,66.33333333333333,0.0
940,dry,58.0,0.0
1092,rain,91.0,53.0
1026,dry,62.0,0.0
16,rain,81.66666666666667,55.0
35,rain,77.66666666666667,51.0
52,dry,34.666666666666664,1.0
70,dry,59.0,1.0
107,dry,61.333333333333336,1.0
110,rain,86.33333333333333,51.0
126,dry,55.666666666666664,0.0
87,rain,84.33333333333333,53.0
192,dry,76.66666666666667,1.0
159,dry,76.33333333333333,2.0
143,dry,74.0,0.0
208,dry,71.66666666666667,2.0
176,dry,70.33333333333333,3.0
225,dry,61.0,0.0
240,rain,80.33333333333333,51.0
257,rain,78.66666666666667,51.0
274,dry,82.33333333333333,3.0
291,dry,75.33333333333333,1.0
322,dry,72.66666666666667,1.0
499,dry,81.33333333333333,3.0
354,dry,64.33333333333333,3.0
544,dry,75.33333333333333,2.0
513,rain,84.0,51.0
577,dry,62.0,0.0
859,rain,92.0,61.0
560,dry,70.33333333333333,1.0
879,rain,85.66666666666667,53.0
306,rain,83.66666666666667,51.0
606,dry,68.0,0.0
591,dry,72.66666666666667,1.0
899,rain,91.66666666666667,61.0
917,rain,76.66666666666667,51.0
944,dry,88.66666666666667,3.0
967,rain,91.33333333333333,53.0
987,dry,41.333333333333336,0.0
1008,rain,80.33333333333333,53.0
1029,dry,69.0,3.0
1071,dry,70.33333333333333,2.0
1095,dry,71.33333333333333,0.0
17,dry,24.0,0.0
355,dry,50.0,0.0
858,dry,57.0,0.0
897,dry,45.0,0.0
877,dry,44.333333333333336,1.0
945,dry,50.666666666666664,0.0
968,dry,46.0,0.0
918,dry,63.666666666666664,0.0
988,dry,47.666666666666664,0.0
1009,dry,46.0,1.0
1030,dry,52.0,1.0
1047,dry,46.666666666666664,0.0
1096,dry,59.333333333333336,0.0
1073,dry,56.666666666666664,1.0
24,dry,62.333333333333336,3.0
41,dry,64.66666666666667,1.0
61,dry,72.66666666666667,0.0
115,dry,71.33333333333333,0.0
97,dry,61.0,1.0
148,dry,67.0,0.0
131,dry,78.0,1.0
165,dry,53.333333333333336,3.0
180,dry,56.333333333333336,0.0
78,dry,77.33333333333333,2.0
197,dry,77.0,3.0
213,dry,50.333333333333336,0.0
231,dry,65.66666666666667,0.0
245,rain,87.33333333333333,61.0
262,rain,87.66666666666667,55.0
279,dry,71.66666666666667,0.0
295,dry,62.666666666666664,3.0
325,rain,95.66666666666667,51.0
309,dry,57.666666666666664,0.0
344,dry,55.0,2.0
361,dry,71.0,1.0
409,dry,65.33333333333333,0.0
376,dry,55.666666666666664,1.0
424,dry,68.66666666666667,2.0
459,dry,72.33333333333333,1.0
442,dry,68.66666666666667,0.0
474,rain,86.0,51.0
510,dry,70.33333333333333,0.0
496,rain,91.66666666666667,55.0
847,rain,89.33333333333333,61.0
525,dry,90.33333333333333,2.0
542,dry,59.333333333333336,2.0
886,rain,49.0,51.0
866,dry,38.0,0.0
906,dry,43.0,0.0
932,dry,38.333333333333336,2.0
954,dry,55.0,3.0
975,dry,53.666666666666664,0.0
995,dry,41.333333333333336,1.0
1016,dry,33.0,0.0
1082,dry,34.666666666666664,0.0
1106,dry,78.33333333333333,3.0
25,dry,64.33333333333333,1.0
43,dry,69.0,3.0
63,dry,30.0,0.0
80,dry,44.333333333333336,0.0
99,dry,37.333333333333336,0.0
117,dry,44.666666666666664,3.0
150,dry,44.666666666666664,1.0
134,dry,45.0,0.0
166,dry,50.666666666666664,1.0
181,rain,65.33333333333333,51.0
198,dry,41.0,2.0
214,dry,63.0,1.0
232,dry,46.0,1.0
246,dry,65.0,1.0
263,dry,54.333333333333336,1.0
280,dry,46.666666666666664,0.0
296,rain,80.0,51.0
27,dry,38.666666666666664,2.0
64,dry,34.0,1.0
101,dry,40.0,2.0
82,dry,51.666666666666664,3.0
311,dry,61.333333333333336,1.0
119,dry,28.333333333333332,0.0
152,dry,46.333333333333336,2.0
135,dry,42.666666666666664,0.0
168,rain,71.33333333333333,51.0
184,dry,33.0,1.0
216,rain,67.66666666666667,51.0
201,dry,56.333333333333336,3.0
234,dry,50.0,1.0
248,dry,37.666666666666664,0.0
265,dry,42.333333333333336,1.0
282,dry,49.666666666666664,1.0
298,dry,37.333333333333336,1.0
347,dry,47.0,3.0
313,dry,33.666666666666664,1.0
329,dry,45.333333333333336,1.0
364,dry,41.666666666666664,1.0
380,dry,66.0,3.0
395,dry,51.666666666666664,1.0
413,dry,53.0,1.0
446,dry,57.333333333333336,1.0
461,rain,63.666666666666664,51.0
478,dry,79.0,2.0
492,dry,56.666666666666664,2.0
506,rain,65.33333333333333,51.0
521,dry,46.0,0.0
537,dry,43.0,0.0
869,dry,45.0,1.0
650,dry,66.66666666666667,1.0
553,dry,65.66666666666667,2.0
909,dry,53.0,3.0
959,dry,60.666666666666664,1.0
999,dry,56.333333333333336,1.0
1020,rain,70.66666666666667,51.0
50,rain,99.0,53.0
33,dry,64.66666666666667,3.0
559,dry,88.0,0.0
575,dry,90.0,0.0
62,dry,52.333333333333336,1.0
42,dry,32.333333333333336,1.0
79,dry,62.333333333333336,1.0
98,dry,72.0,0.0
122,dry,74.66666666666667,1.0
139,dry,84.0,0.0
172,rain,95.66666666666667,61.0
156,dry,82.66666666666667,0.0
748,dry,89.0,3.0
757,dry,90.33333333333333,0.0
768,dry,64.0,0.0
778,dry,75.66666666666667,0.0
794,dry,76.0,3.0
786,dry,80.0,0.0
809,dry,79.66666666666667,0.0
800,dry,68.0,0.0
826,dry,80.33333333333333,0.0
818,dry,65.66666666666667,0.0
835,dry,92.66666666666667,2.0
74,dry,55.333333333333336,3.0
56,dry,41.333333333333336,0.0
93,dry,53.666666666666664,1.0
111,dry,46.666666666666664,2.0
127,dry,58.666666666666664,1.0
144,dry,43.0,1.0
160,dry,34.666666666666664,1.0
177,dry,49.0,0.0
194,dry,34.333333333333336,1.0
210,rain,80.33333333333333,55.0
228,dry,47.0,1.0
259,dry,42.333333333333336,1.0
276,rain,54.333333333333336,51.0
293,dry,29.333333333333332,0.0
242,rain,79.0,51.0
307,rain,62.666666666666664,51.0
357,dry,52.0,1.0
323,dry,44.0,1.0
373,dry,48.333333333333336,1.0
406,rain,78.66666666666667,51.0
389,dry,38.666666666666664,0.0
422,rain,76.0,51.0
455,dry,64.33333333333333,3.0
470,dry,47.0,2.0
486,rain,85.66666666666667,51.0
509,rain,66.66666666666667,51.0
439,dry,53.0,3.0
1043,dry,65.33333333333333,2.0
1077,rain,69.66666666666667,61.0
1053,dry,59.0,2.0
1103,dry,61.666666666666664,0.0
113,dry,61.0,2.0
146,dry,36.0,1.0
129,rain,80.66666666666667,63.0
167,dry,51.666666666666664,3.0
183,dry,70.0,3.0
220,dry,62.333333333333336,3.0
200,rain,69.33333333333333,51.0
397,dry,51.0,1.0
415,dry,48.0,0.0
447,dry,52.0,2.0
429,dry,51.0,1.0
462,dry,51.333333333333336,3.0
479,dry,58.333333333333336,2.0
507,rain,67.66666666666667,51.0
493,dry,53.666666666666664,0.0
522,dry,64.66666666666667,2.0
538,rain,68.33333333333333,51.0
554,rain,83.0,51.0
570,rain,66.66666666666667,51.0
587,dry,57.333333333333336,1.0
601,dry,43.666666666666664,0.0
628,dry,57.0,0.0
639,dry,45.666666666666664,0.0
616,dry,41.333333333333336,1.0
907,dry,43.0,1.0
651,rain,66.66666666666667,51.0
933,dry,49.0,3.0
956,dry,77.33333333333333,3.0
977,dry,56.333333333333336,2.0
997,dry,53.666666666666664,2.0
1018,dry,39.0,0.0
1031,dry,46.333333333333336,1.0
1032,dry,42.666666666666664,2.0
1060,dry,59.0,2.0
1058,dry,50.333333333333336,1.0
1084,rain,69.33333333333333,51.0
193,dry,85.66666666666667,3.0
209,dry,80.66666666666667,0.0
226,dry,61.0,0.0
498,dry,57.0,0.0
485,dry,90.66666666666667,2.0
241,rain,93.33333333333333,63.0
512,dry,66.66666666666667,0.0
527,dry,51.333333333333336,0.0
576,dry,75.0,1.0
543,dry,76.33333333333333,0.0
605,dry,75.0,1.0
590,dry,73.66666666666667,2.0
746,dry,41.333333333333336,0.0
620,dry,51.333333333333336,0.0
765,dry,54.0,0.0
776,dry,53.666666666666664,1.0
784,dry,43.0,0.0
792,dry,51.0,0.0
223,dry,68.0,3.0
808,dry,80.0,2.0
270,dry,51.333333333333336,1.0
799,dry,68.33333333333333,1.0
334,dry,50.333333333333336,1.0
400,dry,60.666666666666664,1.0
385,dry,40.666666666666664,0.0
369,rain,48.333333333333336,51.0
405,dry,35.333333333333336,0.0
238,dry,66.33333333333333,1.0
269,dry,80.0,3.0
252,dry,61.333333333333336,0.0
286,dry,59.0,0.0
302,dry,61.0,2.0
317,dry,77.0,0.0
